Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,0.6949023231353162,0.118039086563305,0.8227227926254272,0.9656946659088135
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(2, 2)",2Capas,0.11105995907664416,0.00011147284590368972,0.9725759029388429,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(2, 2)",3Capas,0.10578731028226283,8.082429563156649e-05,0.9725759029388429,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(3, 3)",2Capas,0.2339119456095455,0.0013286673248479864,0.9392752051353455,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(3, 3)",3Capas,0.20300268799971413,0.0003726583887346881,0.9500489830970765,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",2Capas,0.0823690190648589,0.0006704306435494354,0.9804113507270814,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",3Capas,0.10247454379961608,0.0005529152256187627,0.9755141735076904,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",2Capas,0.6314571294623421,0.1501433001929304,0.8374143242835999,0.9514824748039244
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",3Capas,0.7714516546770593,0.1323749055463845,0.811949074268341,0.9573633670806884
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(2, 2)",2Capas,0.14687806211984794,2.544378377895421e-05,0.9647404551506041,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(2, 2)",3Capas,0.11154110573531364,9.101750008056916e-05,0.967678725719452,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(3, 3)",2Capas,0.12672586264736388,0.0006468510620352598,0.9764936566352845,1.0
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(3, 3)",3Capas,0.19645510170240243,0.011065017435968076,0.9441723823547363,0.9990198612213135
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",2Capas,0.036328350660486015,2.7294297857749207e-05,0.9892262220382689,1.0
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",3Capas,0.0938870294497926,0.002675017104643445,0.9813907742500304,0.9995099306106568
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",2Capas,0.30660619658402494,0.009659504352346943,0.9608227014541626,0.9965694546699525
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",3Capas,0.21974453146876832,0.005921843375315074,0.9598432779312132,0.9990198612213135
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(2, 2)",2Capas,0.08187075113981641,0.0003083555331013811,0.9706170558929443,1.0
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(2, 2)",3Capas,0.1199860788451236,0.00014209546247527497,0.9657198786735535,1.0
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(3, 3)",2Capas,0.24484242090223815,0.000203927053120414,0.9490695595741273,1.0
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(3, 3)",3Capas,0.2264011269334948,0.0003282590433050342,0.9441723823547363,1.0
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",2Capas,0.02414379743074708,2.313696379749913e-05,0.9911851286888121,1.0
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",3Capas,0.03187003533348366,7.038624448924472e-06,0.9931439757347107,1.0
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",2Capas,0.21314903887866263,0.007535344909699037,0.9520078301429747,0.9987748265266417
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",3Capas,0.2836993116589881,0.0068610119328717046,0.9461312294006349,0.9995099306106568
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(2, 2)",2Capas,0.1251565090790628,8.579573110878755e-05,0.9745347499847411,1.0
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(2, 2)",3Capas,0.198340780077088,0.041189135981532427,0.9422135353088379,0.9904435276985168
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(3, 3)",2Capas,0.07361138640696785,0.0003838024941077686,0.9833496809005736,1.0
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(3, 3)",3Capas,0.11407478745337156,0.0019408373283286784,0.9725759029388429,0.9997549653053284
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,0.17308776930930508,0.004437044026969228,0.9598432779312132,0.9995099306106568
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,0.12821072666339364,0.00035378465278573784,0.9696376323699952,1.0
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,0.44598900054624335,0.04654623164560968,0.9226248860359194,0.9938740730285645
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,0.39076745224775455,0.01203652820857988,0.9353575110435485,0.9982847571372986
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(2, 2)",2Capas,0.24076802118970528,0.0010601736175734344,0.9343780875205993,1.0
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(2, 2)",3Capas,0.242166345162786,0.000918794839221185,0.9490695595741273,1.0
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(3, 3)",2Capas,0.29706795944902503,0.00032732402863745687,0.9441723823547363,1.0
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(3, 3)",3Capas,0.3236448605719089,0.004243423718886294,0.9206660389900208,0.9997549653053284
