Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)",[32],"(2, 2)",2Capas,2.3783158274257885,4.377029624639773,0.13725490868091583,0.15931372344493863
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)",[32],"(2, 2)",3Capas,2.2711222966512046,4.250651396957099,0.1666666716337204,0.1764705926179886
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)",[32],"(3, 3)",2Capas,2.31501020637213,4.222217475666719,0.15196079015731812,0.1948529481887817
relu,Falso,Drop0,Verdadero,nadam,"(3, 3)",[32],"(3, 3)",3Capas,2.326611514184989,4.405861387065813,0.09313725680112839,0.14705882966518402
relu,Falso,Drop0.25,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.0379070604548737,1.4532416614831662,0.3284313678741455,0.4718137383460999
relu,Falso,Drop0.25,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,1.8776072731205065,1.5585709623261994,0.343137264251709,0.4362744987010956
relu,Falso,Drop0.25,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,1.7268697187012316,1.3817167819715013,0.48529410362243647,0.5036764740943909
relu,Falso,Drop0.25,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,1.7045703401752548,1.5876913842032938,0.4166666567325592,0.43382352590560913
relu,Falso,Drop0.25,Falso,adam,"(2, 2)",[32],"(2, 2)",2Capas,2.3199553583182535,2.2878193154054527,0.14705882966518402,0.16053920984268188
relu,Falso,Drop0.25,Falso,adam,"(2, 2)",[32],"(2, 2)",3Capas,2.277617188060985,2.0995120394463638,0.1715686321258545,0.24264705181121823
relu,Falso,Drop0.25,Falso,adam,"(2, 2)",[32],"(3, 3)",2Capas,2.2053518482283048,1.7150143548554064,0.24509803950786593,0.3921568691730499
relu,Falso,Drop0.25,Falso,adam,"(2, 2)",[32],"(3, 3)",3Capas,2.187635950013703,1.7594486591862697,0.2352941185235977,0.3909313678741455
relu,Falso,Drop0.25,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,1.9047134156320609,1.126412782014585,0.4117647111415863,0.5955882072448729
relu,Falso,Drop0.25,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,1.845900028359656,1.5055095097597908,0.44117647409439087,0.4705882370471954
